Queries, Number of Overlapping Results, Pecent Overlap, Spearman Coefficient
Query 1, 4, 0.4, -2.9000000000000004
Query 2, 1, 0.1, 0
Query 3, 2, 0.2, -35.0
Query 4, 3, 0.3, 0.5
Query 5, 3, 0.3, -3.5
Query 6, 4, 0.4, -3.3
Query 7, 1, 0.1, 0
Query 8, 0, 0.0, 0
Query 9, 4, 0.4, -2.7
Query 10, 3, 0.3, -6.5
Query 11, 2, 0.2, 0.0
Query 12, 4, 0.4, -1.0999999999999996
Query 13, 3, 0.3, -17.25
Query 14, 1, 0.1, 0
Query 15, 5, 0.5, -3.6000000000000005
Query 16, 1, 0.1, 0
Query 17, 4, 0.4, -1.7000000000000002
Query 18, 2, 0.2, -40.0
Query 19, 2, 0.2, -3.0
Query 20, 3, 0.3, -14.5
Query 21, 4, 0.4, -8.0
Query 22, 3, 0.3, -9.25
Query 23, 6, 0.6, 0.34285714285714286
Query 24, 2, 0.2, -4.0
Query 25, 4, 0.4, 0.0
Query 26, 2, 0.2, -17.0
Query 27, 6, 0.6, -2.9142857142857146
Query 28, 1, 0.1, 0
Query 29, 2, 0.2, -127.0
Query 30, 5, 0.5, -1.6
Query 31, 3, 0.3, -10.25
Query 32, 2, 0.2, -3.0
Query 33, 2, 0.2, 1.0
Query 34, 5, 0.5, -0.15000000000000013
Query 35, 4, 0.4, -2.5999999999999996
Query 36, 3, 0.3, -7.0
Query 37, 4, 0.4, -2.3000000000000003
Query 38, 4, 0.4, 0.7
Query 39, 6, 0.6, 0.6857142857142857
Query 40, 5, 0.5, 0.15000000000000002
Query 41, 2, 0.2, -15.0
Query 42, 2, 0.2, -19.0
Query 43, 1, 0.1, 0
Query 44, 2, 0.2, -8.0
Query 45, 1, 0.1, 1
Query 46, 5, 0.5, 0.7
Query 47, 3, 0.3, -8.0
Query 48, 0, 0.0, 0
Query 49, 2, 0.2, -19.0
Query 50, 5, 0.5, -2.3000000000000003
Query 51, 4, 0.4, -4.4
Query 52, 3, 0.3, -11.25
Query 53, 1, 0.1, 0
Query 54, 3, 0.3, 0.75
Query 55, 5, 0.5, -3.1999999999999993
Query 56, 3, 0.3, -7.75
Query 57, 4, 0.4, -0.7
Query 58, 5, 0.5, -2.7
Query 59, 6, 0.6, 0.17142857142857137
Query 60, 5, 0.5, -1.1999999999999997
Query 61, 4, 0.4, 0.10000000000000009
Query 62, 5, 0.5, 0.19999999999999996
Query 63, 3, 0.3, -19.25
Query 64, 0, 0.0, 0
Query 65, 1, 0.1, 1
Query 66, 3, 0.3, -1.25
Query 67, 3, 0.3, -9.0
Query 68, 5, 0.5, -0.04999999999999982
Query 69, 0, 0.0, 0
Query 70, 4, 0.4, -0.30000000000000004
Query 71, 6, 0.6, 0.19999999999999996
Query 72, 2, 0.2, -71.0
Query 73, 2, 0.2, -48.0
Query 74, 4, 0.4, -4.6
Query 75, 1, 0.1, 0
Query 76, 5, 0.5, -2.5
Query 77, 1, 0.1, 0
Query 78, 4, 0.4, -5.4
Query 79, 3, 0.3, -11.75
Query 80, 2, 0.2, -28.0
Query 81, 0, 0.0, 0
Query 82, 4, 0.4, -4.6
Query 83, 5, 0.5, -2.25
Query 84, 0, 0.0, 0
Query 85, 1, 0.1, 0
Query 86, 2, 0.2, -1.0
Query 87, 1, 0.1, 0
Query 88, 3, 0.3, -7.75
Query 89, 3, 0.3, -19.5
Query 90, 4, 0.4, -1.0
Query 91, 2, 0.2, -24.0
Query 92, 4, 0.4, -1.9
Query 93, 3, 0.3, -3.25
Query 94, 5, 0.5, -0.5500000000000003
Query 95, 1, 0.1, 0
Query 96, 3, 0.3, -1.0
Query 97, 2, 0.2, -28.0
Query 98, 4, 0.4, -2.8
Query 99, 3, 0.3, -0.25
Query 100, 6, 0.6, -1.342857142857143
Averages, 3.01, 0.301, -7.254071428571429
